left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0001152	exposure to organochlorine compound	http://purl.obolibrary.org/obo/MRE_0000084	Exposure to organochlorine compound	label	label	exposure to organochlorine compound	Exposure to organochlorine compound	77.63975155279503	0.21739130434782608	0.7142857142857143	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001265	exposure to perfluorodecanoic acid	http://purl.obolibrary.org/obo/MRE_0000186	Exposure to perfluorodecanoic acid	label	label	exposure to perfluorodecanoic acid	Exposure to perfluorodecanoic acid	100.0	1.0	0.75	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001266	exposure to perfluoroheptanoic acid	http://purl.obolibrary.org/obo/MRE_0000188	Exposure to perfluoroheptanoic acid	label	label	exposure to perfluoroheptanoic acid	Exposure to perfluoroheptanoic acid	100.0	0.75	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001267	exposure to perfluorooctanoic acid	http://purl.obolibrary.org/obo/MRE_0000190	Exposure to perfluorooctanoic acid	label	label	exposure to perfluorooctanoic acid	Exposure to perfluorooctanoic acid	100.0	1.0	0.75	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001470	exposure to perfluoroundecanoic acid	http://purl.obolibrary.org/obo/MRE_0000195	Exposure to perfluoroundecanoic acid	label	label	exposure to perfluoroundecanoic acid	Exposure to perfluoroundecanoic acid	100.0	1.0	0.75	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001479	exposure to N-methylperfluorooctane sulfonamidoacetic acid	http://purl.obolibrary.org/obo/MRE_0000194	Exposure to 2-(N-methyl-perfluorooctane sulfonamido) acetic acid	hasRelatedSynonym	label	exposure to 2-(N-methyl-perfluorooctane sulfonamido) acetic acid	Exposure to 2-(N-methyl-perfluorooctane sulfonamido) acetic acid	50.0	0.75	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001480	exposure to N-ethylperfluorooctane sulfonamidoacetic acid	http://purl.obolibrary.org/obo/MRE_0000193	Exposure to 2-(N-ethyl-perfluorooctane sulfonamido) acetic acid	hasRelatedSynonym	label	exposure to 2-(N-ethyl-perfluorooctane sulfonamido) acetic acid	Exposure to 2-(N-ethyl-perfluorooctane sulfonamido) acetic acid	50.0	1.0	0.75	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001513	exposure to perfluorododecanoic acid	http://purl.obolibrary.org/obo/MRE_0000187	Exposure to perfluorododecanoic acid	label	label	exposure to perfluorododecanoic acid	Exposure to perfluorododecanoic acid	100.0	0.75	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001528	exposure to Heptachlor epoxide	http://purl.obolibrary.org/obo/MRE_0000088	Exposure to heptachlor epoxide	label	label	exposure to Heptachlor epoxide	Exposure to heptachlor epoxide	100.0	0.4	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001529	exposure to antimony(0)	http://purl.obolibrary.org/obo/MRE_0000108	Exposure to antimony	hasRelatedSynonym	label	exposure to antimony	Exposure to antimony	37.5	0.5	0.5	2	0.36000000000000004	3
