ECTO:0000004 ! exposure to gamma radiation	EO:0001022 ! gamma radiation treatment	false	exact	label	gamma
ECTO:0000004 ! exposure to gamma radiation	GO:0010332 ! response to gamma radiation	false	exact	label	gamma
ECTO:0000004 ! exposure to gamma radiation	XCO:0000040 ! gamma ray exposure	false	exact	exact	gamma
ECTO:0000004 ! exposure to gamma radiation	ECTO:0000122 ! exposure to photon	false	label	related	gamma
ECTO:0000004 ! exposure to gamma radiation	EO:0001022 ! gamma radiation treatment	false	label	label	gamma
ECTO:0000004 ! exposure to gamma radiation	GO:0010332 ! response to gamma radiation	false	label	label	gamma
ECTO:0000004 ! exposure to gamma radiation	XCO:0000040 ! gamma ray exposure	false	label	exact	gamma
ECTO:0000004 ! exposure to gamma radiation	XCO:0000040 ! gamma ray exposure	true	exact	exact	gammaradiatexposur
ECTO:0000004 ! exposure to gamma radiation	XCO:0000040 ! gamma ray exposure	false	exact	exact	gammaradiationexposure
ECTO:0000005 ! exposure to x-ray radiation	EO:0007628 ! X-ray	false	exact	label	10light
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	exact	exact	10light
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	exact	label	10light
ECTO:0000005 ! exposure to x-ray radiation	XCO:0000043 ! X-ray exposure	false	exact	label	10light
ECTO:0000005 ! exposure to x-ray radiation	ZECO:0000215 ! x-ray	false	exact	label	10light
ECTO:0000005 ! exposure to x-ray radiation	EO:0007628 ! X-ray	false	label	label	10light
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	label	exact	10light
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	label	label	10light
ECTO:0000005 ! exposure to x-ray radiation	XCO:0000043 ! X-ray exposure	false	label	label	10light
ECTO:0000005 ! exposure to x-ray radiation	ZECO:0000215 ! x-ray	false	label	label	10light
ECTO:0000005 ! exposure to x-ray radiation	EO:0007628 ! X-ray	false	exact	label	xray
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	exact	exact	xray
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	exact	label	xray
ECTO:0000005 ! exposure to x-ray radiation	XCO:0000043 ! X-ray exposure	false	exact	label	xray
